 "y","U","k","epsilon","nut","tau_mu","tau_R","Pk","Tk","Dk","Peps","Teps","Deps","epsEps"
  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00,  0.4261470020E-01,  0.0000000000E+00,  0.9406697633E+00,  0.0000000000E+00,  0.0000000000E+00,  0.2855083691E-10,  0.4258497844E-01,  0.4493300515E-04, -0.6181346780E-08,  0.3144184780E-02, -0.3126819310E-02
  0.1000000000E+00,  0.9404194506E-01,  0.2134855291E-03,  0.4286226705E-01,  0.1746138893E-06,  0.9401691379E+00,  0.1641665898E-06,  0.1543443612E-06,  0.3723159931E-07,  0.4286207575E-01,  0.4493300515E-04,  0.1448039342E-07,  0.3081904918E-02, -0.3126819310E-02
  0.2000000000E+00,  0.1880338276E+00,  0.8555918157E-03,  0.4314065296E-01,  0.1390723240E-05,  0.9396677901E+00,  0.1306817834E-05,  0.1227974626E-05,  0.2529286604E-06,  0.4313917305E-01,  0.8977956310E-04,  0.5400685786E-07,  0.3019625055E-02, -0.3109422003E-02
  0.3000000000E+00,  0.2819755031E+00,  0.1929089833E-02,  0.4344923511E-01,  0.4672947438E-05,  0.9391645217E+00,  0.4388666446E-05,  0.4121679823E-05,  0.8249758495E-06,  0.4344429055E-01,  0.1346083305E-03,  0.1305147671E-06,  0.2961146416E-02, -0.3095845084E-02
  0.4000000000E+00,  0.3758667319E+00,  0.3437030756E-02,  0.4378742873E-01,  0.1102818479E-04,  0.9386583903E+00,  0.1035169818E-04,  0.9716708354E-05,  0.1931080684E-05,  0.4377578453E-01,  0.1794953470E-03,  0.2522210396E-06,  0.2906271667E-02, -0.3085975473E-02
  0.5000000000E+00,  0.4697071811E+00,  0.5382729524E-02,  0.4415468506E-01,  0.2144728839E-04,  0.9381484704E+00,  0.2012074080E-04,  0.1887624220E-04,  0.3749730495E-05,  0.4413206462E-01,  0.2245214185E-03,  0.4268594649E-06,  0.2854741445E-02, -0.3079642345E-02
  0.6000000000E+00,  0.5634964260E+00,  0.7769748938E-02,  0.4455048881E-01,  0.3690771132E-04,  0.9376338511E+00,  0.3460591950E-04,  0.3244768157E-04,  0.6461373850E-05,  0.4451158769E-01,  0.2697721799E-03,  0.6617920857E-06,  0.2806295039E-02, -0.3076677985E-02
  0.7000000000E+00,  0.6572339514E+00,  0.1060188423E-01,  0.4497435551E-01,  0.5837704651E-04,  0.9371136328E+00,  0.5470592613E-04,  0.5126566917E-04,  0.1024982295E-04,  0.4491285087E-01,  0.3153381561E-03,  0.9641220788E-06,  0.2760677671E-02, -0.3076925241E-02
  0.8000000000E+00,  0.7509191525E+00,  0.1388314803E-01,  0.4542582898E-01,  0.8681738187E-04,  0.9365869228E+00,  0.8131202453E-04,  0.7615577885E-04,  0.1530386433E-04,  0.4533438366E-01,  0.3613148185E-03,  0.1340806603E-05,  0.2717641235E-02, -0.3080238433E-02
  0.9000000000E+00,  0.8445513359E+00,  0.1761775566E-01,  0.4590447887E-01,  0.1231903883E-03,  0.9360528316E+00,  0.1153127118E-03,  0.1079387904E-03,  0.2181906346E-04,  0.4577473938E-01,  0.4078026352E-03,  0.1798768174E-05,  0.2676943703E-02, -0.3086482920E-02
